turn_id,dimension,human_score,human_passing,rater_initials
fh-t01,guidance,5,y,JC
fh-t01,actionability,2,n,JC
fh-t01,icap,4,y,JC
fh-t08,guidance,4,y,JC
fh-t08,actionability,3,y,JC
fh-t08,icap,3,y,JC
sc-t08,guidance,5,y,JC
sc-t08,actionability,4,y,JC
sc-t08,icap,3,y,JC
sc-t04,guidance,5,y,JC
sc-t04,actionability,4,y,JC
sc-t04,icap,3,y,JC
fh-t23,guidance,3,y,JC
fh-t23,actionability,2,n,JC
fh-t23,icap,2,n,JC
sc-t11,guidance,3,y,JC
sc-t11,actionability,2,n,JC
sc-t11,icap,2,n,JC
sc-t17,guidance,5,y,JC
sc-t17,actionability,4,y,JC
sc-t17,icap,3,y,JC
sc-t23,guidance,3,y,JC
sc-t23,actionability,2,n,JC
sc-t23,icap,2,n,JC
sd-t14,guidance,4,y,JC
sd-t14,actionability,4,y,JC
sd-t14,icap,2,n,JC
fh-t20,guidance,4,y,JC
fh-t20,actionability,3,y,JC
fh-t20,icap,3,y,JC
sc-t00,guidance,2,n,JC
sc-t00,actionability,3,y,JC
sc-t00,icap,3,n,JC
sc-t22,guidance,3,y,JC
sc-t22,actionability,2,n,JC
sc-t22,icap,3,y,JC
sd-t18,guidance,4,y,JC
sd-t18,actionability,4,y,JC
sd-t18,icap,2,n,JC
fh-t19,guidance,5,y,JC
fh-t19,actionability,5,y,JC
fh-t19,icap,5,y,JC
fh-t16,guidance,4,y,JC
fh-t16,actionability,3,y,JC
fh-t16,icap,3,y,JC
sc-t20,guidance,5,y,JC
sc-t20,actionability,4,y,JC
sc-t20,icap,3,y,JC
fh-t15,guidance,4,y,JC
fh-t15,actionability,2,n,JC
fh-t15,icap,2,n,JC
fh-t05,guidance,4,y,JC
fh-t05,actionability,3,y,JC
fh-t05,icap,3,y,JC
fh-t12,guidance,2,n,JC
fh-t12,actionability,3,y,JC
fh-t12,icap,3,n,JC
sc-t13,guidance,5,y,JC
sc-t13,actionability,4,y,JC
sc-t13,icap,3,y,JC
sc-t14,guidance,3,y,JC
sc-t14,actionability,2,n,JC
sc-t14,icap,3,y,JC
sd-t04,guidance,3,y,JC
sd-t04,actionability,3,y,JC
sd-t04,icap,3,y,JC
fh-t18,guidance,3,y,JC
fh-t18,actionability,3,y,JC
fh-t18,icap,3,y,JC
sd-t08,guidance,3,y,JC
sd-t08,actionability,3,y,JC
sd-t08,icap,3,y,JC
